Census Tract,California County,ZIP,CES 4.0 Score,CES 4.0 Percentile
6019001100,Fresno,93706,93.18,100
6077000700,San Joaquin,95206,86.65,99.99
6037204920,Los Angeles,90023,82.39,99.97
6019000700,Fresno,93706,81.33,99.96
6019000200,Fresno,93706,80.75,99.95
6037542402,Los Angeles,90221,80.71,99.94
6019001000,Fresno,93706,80.55,99.92
6037543202,Los Angeles,90220,79.29,99.91
6019001202,Fresno,93725,79.17,99.9
6077000100,San Joaquin,95202,77.87,99.89
6037203300,Los Angeles,90033,77.35,99.87
6037291220,Los Angeles,90247,77.25,99.86
6037433501,Los Angeles,91733,76.91,99.85
6037243100,Los Angeles,90059,76.85,99.84
6037227010,Los Angeles,90011,76.65,99.82
6037226001,Los Angeles,90021,76.52,99.81
6019000300,Fresno,93706,76.4,99.8
6037433101,Los Angeles,91731,76.26,99.79
6037239202,Los Angeles,90001,76.24,99.77
6037206050,Los Angeles,90023,75.99,99.76
6037205120,Los Angeles,90023,75.72,99.75
6077000300,San Joaquin,95203,75.61,99.74
6037226002,Los Angeles,90021,75.55,99.72
6019000902,Fresno,93706,75.46,99.71
6099003700,Stanislaus,95380,75.31,99.7
6019000400,Fresno,93721,75.3,99.68
6037536104,Los Angeles,90280,75.11,99.67
6037104703,Los Angeles,91331,74.98,99.66
6037240500,Los Angeles,90003,74.91,99.65
6037535400,Los Angeles,90002,74.9,99.63
6071001600,San Bernardino,91761,74.67,99.62
6037291210,Los Angeles,90247,74.44,99.61
6037570403,Los Angeles,90805,74.37,99.6
6037532302,Los Angeles,90023,74.06,99.58
6037542200,Los Angeles,90221,73.92,99.57
6037534202,Los Angeles,90201,73.82,99.56
6037531302,Los Angeles,90023,73.71,99.55
6029002500,Kern,93307,73.36,99.53
6037242600,Los Angeles,90059,73.34,99.52
6037242700,Los Angeles,90059,73.33,99.51
6037206032,Los Angeles,90033,73.31,99.5
6037542401,Los Angeles,90221,73.16,99.48
6037203500,Los Angeles,90033,73.09,99.47
6037239201,Los Angeles,90003,72.93,99.46
6037219902,Los Angeles,90016,72.78,99.45
6037534201,Los Angeles,90201,72.69,99.43
6019001201,Fresno,93725,72.68,99.42
6077000801,San Joaquin,95203,72.68,99.41
6037540700,Los Angeles,90059,72.57,99.39
6037540901,Los Angeles,90061,72.25,99.38
6037533806,Los Angeles,90201,72,99.37
6029002200,Kern,93307,71.91,99.36
6037534102,Los Angeles,90201,71.9,99.34
6065030502,Riverside,92507,71.87,99.33
6037127400,Los Angeles,91406,71.85,99.32
6039000800,Madera,93637,71.55,99.31
6037570301,Los Angeles,90805,71.42,99.29
6037534301,Los Angeles,90201,71.4,99.28
6037294701,Los Angeles,90744,71.29,99.27
6037239330,Los Angeles,90001,71.24,99.26
6019001301,Fresno,93702,71.21,99.24
6037570402,Los Angeles,90805,71.21,99.23
6037239702,Los Angeles,90003,70.76,99.22
6037540400,Los Angeles,90059,70.56,99.21
6037296210,Los Angeles,90731,70.53,99.19
6037534302,Los Angeles,90201,70.45,99.18
6077003803,San Joaquin,95231,70.42,99.17
6037120020,Los Angeles,91402,70.33,99.16
6037434004,Los Angeles,91733,70.22,99.14
6019000901,Fresno,93706,70.21,99.13
6019007100,Fresno,93662,70.2,99.12
6037205110,Los Angeles,90023,70.13,99.1
6037122410,Los Angeles,91605,70.04,99.09
6037532304,Los Angeles,90040,70,99.08
6065042505,Riverside,92553,69.96,99.07
6037208000,Los Angeles,90026,69.81,99.05
6019001500,Fresno,93725,69.73,99.04
6037575401,Los Angeles,90813,69.66,99.03
6037572301,Los Angeles,90810,69.65,99.02
6031001100,Kings,93230,69.6,99
6037239310,Los Angeles,90003,69.57,98.99
6037228900,Los Angeles,90058,69.56,98.98
6037219901,Los Angeles,90016,69.52,98.97
6037570502,Los Angeles,90805,69.39,98.95
6037570203,Los Angeles,90805,69.38,98.94
6037533002,Los Angeles,90001,69.29,98.93
6037228100,Los Angeles,90011,69.26,98.92
6099002100,Stanislaus,95354,69.16,98.9
6037532603,Los Angeles,90255,69.06,98.89
6037117408,Los Angeles,91343,68.96,98.88
6037204700,Los Angeles,90023,68.92,98.87
6037302401,Los Angeles,91204,68.86,98.85
6037602900,Los Angeles,90249,68.75,98.84
6029004402,Kern,93280,68.74,98.83
6037433504,Los Angeles,91733,68.72,98.81
6067005301,Sacramento,95811,68.71,98.8
6037121222,Los Angeles,91352,68.65,98.79
6037185320,Los Angeles,90065,68.57,98.78
6037540000,Los Angeles,90262,68.47,98.76
6065030400,Riverside,92507,68.45,98.75
6037120010,Los Angeles,91402,68.43,98.74
