Census Tract,California County,ZIP,CES 3.0 Score,CES 3.0 Percentile
6019001100,Fresno ,93706,94.09,100.00
6071001600,San Bernardino,91761,90.68,99.99
6019000200,Fresno ,93706,85.97,99.97
6077000801,San Joaquin,95203,82.49,99.96
6019001500,Fresno ,93725,82.03,99.95
6037204920,Los Angeles,90023,80.73,99.94
6077000300,San Joaquin,95203,80.18,99.92
6019001000,Fresno ,93706,80.13,99.91
6037206050,Los Angeles,90023,79.03,99.90
6019000400,Fresno ,93721,78.53,99.89
6099002100,Stanislaus ,95354,78.52,99.87
6029002500,Kern ,93307,78.41,99.86
6019000600,Fresno ,93721,78.41,99.85
6019001201,Fresno ,93725,78.05,99.84
6037205120,Los Angeles,90023,78.04,99.82
6019000902,Fresno ,93706,77.65,99.81
6037291220,Los Angeles,90247,77.50,99.80
6019001202,Fresno ,93725,77.41,99.79
6019000800,Fresno ,93706,77.40,99.77
6019000300,Fresno ,93706,76.71,99.76
6037239202,Los Angeles,90001,76.04,99.75
6037226002,Los Angeles,90021,76.04,99.74
6077000700,San Joaquin,95206,76.02,99.72
6019000901,Fresno ,93706,75.86,99.71
6077000100,San Joaquin,95202,75.54,99.70
6099002302,Stanislaus ,95351,75.19,99.68
6071004900,San Bernardino,92410,74.95,99.67
6037535400,Los Angeles,90002,74.46,99.66
6019000700,Fresno ,93706,74.16,99.65
6065030300,Riverside ,92501,74.06,99.63
6019007100,Fresno ,93662,73.78,99.62
6037243100,Los Angeles,90059,73.54,99.61
6037543305,Los Angeles,90220,73.54,99.60
6071005701,San Bernardino,92401,73.28,99.58
6037204600,Los Angeles,90023,73.13,99.57
6037227010,Los Angeles,90011,72.68,99.56
6099002301,Stanislaus ,95351,72.39,99.55
6019000100,Fresno ,93721,71.95,99.53
6077001900,San Joaquin,95205,71.89,99.52
6037206032,Los Angeles,90033,71.56,99.51
6037226001,Los Angeles,90021,71.53,99.50
6037239501,Los Angeles,90001,71.36,99.48
6019002000,Fresno ,93728,71.34,99.47
6077005119,San Joaquin,95330,71.30,99.46
6037203100,Los Angeles,90033,71.05,99.45
6037530700,Los Angeles,90063,71.03,99.43
6073005000,San Diego,92113,70.91,99.42
6037301601,Los Angeles,91201,70.91,99.41
6037185320,Los Angeles,90065,70.89,99.39
6037543202,Los Angeles,90220,70.82,99.38
6065030502,Riverside ,92507,70.63,99.37
6071012500,San Bernardino,92324,70.61,99.36
6037531302,Los Angeles,90023,70.59,99.34
6019001301,Fresno ,93702,70.56,99.33
6019002502,Fresno ,93702,70.56,99.32
6037402801,Los Angeles,91766,70.39,99.31
6019001304,Fresno ,93702,70.21,99.29
6077002201,San Joaquin,95206,70.16,99.28
6037532304,Los Angeles,90040,69.97,99.27
6019001303,Fresno ,93702,69.96,99.26
6029002200,Kern ,93307,69.89,99.24
6037205110,Los Angeles,90023,69.85,99.23
6037570502,Los Angeles,90805,69.77,99.22
6037291210,Los Angeles,90247,69.62,99.21
6037219901,Los Angeles,90016,69.47,99.19
6037534202,Los Angeles,90201,69.37,99.18
6037540400,Los Angeles,90059,69.24,99.17
6065046700,Riverside ,92518,69.15,99.16
6029002301,Kern ,93307,69.08,99.14
6071002501,San Bernardino,92335,68.99,99.13
6019008502,Fresno ,93648,68.98,99.12
6019000502,Fresno ,93701,68.97,99.10
6037242100,Los Angeles,90002,68.88,99.09
6037203500,Los Angeles,90033,68.82,99.08
6037302401,Los Angeles,91204,68.65,99.07
6067005301,Sacramento ,95811,68.64,99.05
6037204820,Los Angeles,90023,68.47,99.04
6037532302,Los Angeles,90023,68.30,99.03
6073004900,San Diego,92113,68.27,99.02
6037229420,Los Angeles,90011,68.25,99.00
6037541001,Los Angeles,90248,68.24,98.99
6099002200,Stanislaus ,95351,68.22,98.98
6037534302,Los Angeles,90201,67.96,98.97
6073003902,San Diego,92113,67.79,98.95
6037239701,Los Angeles,90003,67.77,98.94
6077002300,San Joaquin,95206,67.75,98.93
6037570301,Los Angeles,90805,67.72,98.92
6071012400,San Bernardino,92408,67.63,98.90
6037128302,Los Angeles,91411,67.55,98.89
6037242700,Los Angeles,90059,67.52,98.88
6065031300,Riverside ,92504,67.44,98.86
6071007000,San Bernardino,92324,67.44,98.85
6037533001,Los Angeles,90001,67.42,98.84
6037121222,Los Angeles,91352,67.39,98.83
6037532800,Los Angeles,90001,67.31,98.81
6037239601,Los Angeles,90003,67.30,98.80
6037575401,Los Angeles,90813,67.20,98.79
6077002401,San Joaquin,95206,67.08,98.78
6037534201,Los Angeles,90201,67.05,98.76
6037122410,Los Angeles,91605,66.93,98.75
6037239702,Los Angeles,90003,66.87,98.74
6037572800,Los Angeles,90810,66.79,98.73
6073003601,San Diego,92113,66.76,98.71
6037228100,Los Angeles,90011,66.68,98.70
6037292000,Los Angeles,90501,66.67,98.69
6037434001,Los Angeles,91732,66.54,98.68
6037122122,Los Angeles,91352,66.51,98.66
6099001500,Stanislaus ,95358,66.48,98.65
6037242600,Los Angeles,90059,66.48,98.64
6077000900,San Joaquin,95203,66.46,98.63
6037228900,Los Angeles,90058,66.42,98.61
6037433302,Los Angeles,91732,66.41,98.60
6099001400,Stanislaus ,95350,66.39,98.59
6099002402,Stanislaus ,95358,66.28,98.57
6071005600,San Bernardino,92410,66.14,98.56
6019003001,Fresno ,93727,66.11,98.55
6037402304,Los Angeles,91768,66.06,98.54
6037122420,Los Angeles,91605,66.04,98.52
6037536103,Los Angeles,90280,66.03,98.51
6037199700,Los Angeles,90031,66.03,98.50
6019006802,Fresno ,93654,66.01,98.49
6029002100,Kern ,93307,66.00,98.47
6037219902,Los Angeles,90016,65.96,98.46
6037206300,Los Angeles,90013,65.94,98.45
6037123206,Los Angeles,91606,65.93,98.44
6077000600,San Joaquin,95205,65.82,98.42
6065030104,Riverside ,92501,65.81,98.41
6071004004,San Bernardino,92324,65.79,98.40
6037540901,Los Angeles,90061,65.75,98.39
